Steps,array0
1,1018
2,1018
3,1017
4,1018
5,1017
6,1018
7,1018
8,1019
9,1017
10,1018
11,1016
12,1019
13,1019
14,1018
15,1017
16,1017
17,1018
18,1018
19,1016
20,1018
21,1018
22,1018
23,1018
24,1018
25,1018
26,1017
27,1018
28,1017
29,1018
30,1018
31,1018
32,1018
33,1018
34,1018
35,1017
36,1018
37,1018
38,1019
39,1018
40,1019
41,1018
42,1018
43,1018
44,1018
45,1017
46,1018
47,1018
48,1018
49,1018
50,1019
51,1018
52,1017
53,1018
54,1018
55,1018
56,1019
57,1017
58,1018
59,1017
60,1018
61,1018
62,1018
63,1018
64,1017
65,1018
66,1018
67,1018
68,1018
69,1018
70,1018
71,1018
72,1017
73,1018
74,1017
75,1017
76,1018
77,1018
78,1018
79,1018
80,1018
81,1018
82,1018
83,1017
84,1018
85,1018
86,1018
87,1017
88,1017
89,1018
90,1018
91,1019
92,1016
93,1018
94,1019
95,1017
96,1017
97,1018
98,1018
99,1018
100,1018
101,1018
102,1019
103,1018
104,1018
105,1018
106,1017
107,1017
