Steps,array0,array1,array2
1,535,488,744
2,536,488,742
3,537,489,744
4,536,488,742
5,535,489,743
6,534,488,742
7,536,488,742
8,537,488,741
9,535,488,742
10,536,489,742
11,536,488,742
12,536,487,742
13,535,488,742
14,536,489,743
15,537,488,742
16,536,488,741
17,535,488,741
18,535,488,743
19,537,487,742
20,670,542,744
21,723,551,742
22,747,539,737
23,567,481,739
24,446,531,748
25,405,400,745
26,383,460,746
27,412,536,740
28,440,508,739
29,471,497,745
30,503,495,742
31,537,488,743
32,537,491,742
33,535,489,742
34,536,488,743
35,538,488,743
36,537,488,742
37,535,488,743
38,536,488,742
39,537,488,742
40,538,489,742
41,536,489,742
42,535,489,742
43,537,489,742
44,536,489,742
45,536,489,743
46,536,488,742
47,537,488,743
48,537,489,742
49,551,501,743
50,543,492,740
51,539,489,741
52,529,485,742
53,534,488,743
54,536,488,742
55,537,489,742
56,537,489,742
57,536,489,742
58,535,489,743
59,537,489,742
60,538,488,743
61,536,488,742
62,535,489,742
63,536,489,743
64,537,488,742
65,536,488,742
66,536,488,742
67,537,489,743
68,537,488,742
69,537,488,742
70,536,489,742
71,536,488,742
72,537,488,742
73,537,488,742
74,357,411,738
75,134,282,745
76,376,620,757
77,703,571,741
78,795,536,741
79,770,562,733
80,646,469,738
81,540,491,743
82,564,487,744
83,511,500,742
84,509,484,744
85,529,480,742
86,535,488,741
87,536,489,742
88,544,489,742
89,536,489,743
90,535,488,742
91,535,489,742
92,537,489,743
93,536,488,742
94,535,491,743
95,536,488,742
96,537,489,743
97,536,488,741
98,536,488,743
99,535,488,742
100,537,488,744
101,536,488,741
102,536,488,742
103,536,488,743
104,537,488,743
105,536,488,743
106,535,488,744
107,535,488,743
108,538,489,742
109,537,488,742
110,536,488,743
111,536,488,742
112,536,489,743
113,537,488,742
114,536,488,742
115,536,488,741
116,536,488,742
117,537,488,743
118,535,488,742
119,535,488,742
120,536,488,743
121,538,488,743
122,535,489,741
123,535,488,742
124,534,491,743
125,537,488,742
126,536,488,745
127,536,488,743
128,536,488,743
129,537,488,742
130,536,488,742
131,536,488,743
132,536,489,743
133,538,488,742
134,536,489,741
135,536,488,743
136,535,488,741
137,537,488,743
138,535,488,742
139,535,488,742
140,535,488,743
141,537,488,742
142,536,488,742
143,535,488,742
144,536,489,742
145,537,488,742
146,535,488,742
147,535,488,742
148,536,488,743
149,537,488,742
150,536,489,742
151,535,489,742
152,535,488,743
153,537,488,742
154,537,488,742
155,535,488,743
156,536,487,742
157,536,489,742
158,536,487,742
159,535,488,742
160,535,488,743
161,537,488,743
162,536,488,741
163,536,487,743
164,535,488,742
165,536,488,742
166,536,488,742
167,536,488,743
168,536,488,742
169,536,488,742
170,536,488,741
171,535,487,741
172,535,488,742
173,536,488,742
174,536,488,742
175,535,488,743
176,535,488,742
177,536,489,743
178,537,488,742
179,535,488,742
180,535,489,743
181,532,498,745
182,538,488,742
183,533,489,741
184,534,488,742
185,534,488,743
186,536,489,742
187,536,488,742
188,534,488,743
189,534,488,742
190,535,488,743
191,534,488,741
192,534,488,742
193,533,489,743
194,535,488,743
195,534,489,743
196,534,488,742
197,534,488,742
198,536,488,741
199,534,488,742
200,534,488,742
201,534,489,743
202,543,466,739
203,534,492,743
204,533,488,742
205,534,489,743
206,536,488,743
207,535,488,742
208,534,488,741
209,534,488,743
210,536,489,743
211,534,488,742
212,534,488,741
213,535,489,742
214,536,489,744
215,536,488,742
216,534,488,742
217,534,488,743
218,535,488,743
219,535,488,742
220,534,488,742
221,534,488,742
222,535,488,743
223,535,488,742
224,534,488,741
225,534,488,742
226,536,488,742
227,536,486,741
228,535,488,739
