Steps,array0
1,86
2,86
3,86
4,86
5,86
6,86
7,86
8,86
9,86
10,86
11,86
12,86
13,86
14,85
15,86
16,86
17,85
18,80
19,86
20,92
21,88
22,86
23,86
24,86
25,86
26,86
27,86
28,115
29,91
30,89
31,111
32,90
33,91
34,86
35,90
36,90
37,116
38,90
39,90
40,90
41,90
42,90
43,90
44,85
45,86
46,86
47,86
48,86
49,82
50,96
51,86
52,82
53,82
54,82
55,83
56,82
57,82
58,82
59,82
60,82
61,82
62,86
63,86
64,107
65,82
66,81
67,108
68,82
69,82
70,103
71,78
72,78
73,102
74,77
75,78
76,78
77,82
78,82
79,78
80,77
81,77
82,82
83,77
84,82
85,78
86,79
87,82
88,82
89,86
90,84
91,86
92,82
93,64
94,86
95,86
96,86
97,82
98,80
99,86
100,86
101,86
102,86
103,126
104,86
105,86
106,126
107,86
108,90
109,90
110,90
111,90
112,86
113,85
114,86
115,86
116,86
117,86
118,86
119,85
120,127
121,90
122,90
123,90
124,90
125,90
126,111
127,90
128,90
129,94
130,94
131,90
132,90
133,89
134,113
135,94
136,90
137,109
138,90
139,89
140,109
141,90
142,90
143,109
144,90
145,94
146,94
147,94
148,94
149,94
150,93
151,98
152,94
153,94
154,94
155,98
156,97
157,118
158,94
159,98
160,75
161,98
162,98
163,98
164,94
165,99
166,98
167,98
168,113
169,98
170,98
171,71
172,94
173,89
174,76
175,103
176,106
177,107
178,106
179,98
180,94
181,90
182,82
183,78
184,78
185,78
186,78
187,82
188,94
189,94
190,97
191,67
192,86
193,86
194,80
195,95
196,95
197,67
198,86
199,86
200,64
201,90
202,98
203,80
204,105
205,102
206,107
207,114
208,114
209,119
210,124
211,112
212,123
213,114
214,92
215,114
216,127
217,112
218,128
219,106
220,102
221,102
222,110
223,106
224,106
225,104
226,106
227,102
228,76
229,102
230,106
231,106
232,106
233,120
234,128
235,119
236,102
237,80
238,102
239,98
240,90
241,85
242,82
243,82
244,86
245,82
246,82
247,82
248,82
249,78
250,74
251,49
252,66
253,62
254,62
255,54
256,51
257,21
258,34
259,34
260,34
261,35
262,30
263,30
264,30
265,0
266,26
267,38
268,38
269,22
270,18
271,36
272,22
273,22
274,26
275,27
276,26
277,26
278,26
279,26
280,26
281,27
282,26
283,26
284,27
285,22
286,18
287,18
288,42
289,22
290,22
291,37
292,27
293,27
294,22
295,26
296,27
297,26
298,26
299,26
300,22
301,26
302,26
303,22
304,26
305,27
306,30
307,30
308,31
309,31
310,18
311,43
312,22
313,22
314,47
315,27
316,27
317,26
318,27
319,63
320,38
321,47
322,102
323,62
324,62
325,65
326,70
327,66
328,66
329,66
330,62
331,66
332,66
333,95
334,62
335,62
336,79
337,47
338,51
339,43
340,31
341,30
342,63
343,39
344,51
345,95
346,58
347,74
348,82
349,89
350,94
351,98
352,98
353,145
354,102
355,102
356,143
357,107
358,107
359,150
360,106
361,106
362,106
363,106
364,106
365,106
366,110
367,110
368,110
369,110
370,110
371,110
372,110
373,135
374,110
375,109
376,155
377,110
378,110
379,110
380,111
381,110
382,110
383,115
384,114
385,114
386,114
387,114
388,114
389,113
390,114
391,114
392,114
393,114
394,111
395,110
396,154
397,110
398,110
399,154
400,104
401,110
402,106
403,106
404,107
405,107
406,106
407,107
408,106
409,106
410,107
411,106
412,106
413,107
414,104
415,106
416,106
417,106
418,106
419,106
420,96
421,106
422,106
423,84
424,106
425,106
426,106
427,106
428,84
429,106
430,106
431,127
432,106
433,106
434,84
435,106
436,106
437,107
438,106
439,102
440,102
441,102
442,102
443,102
444,106
445,107
446,107
447,107
448,106
449,106
450,105
451,128
452,106
453,106
454,133
455,110
456,110
457,115
458,115
459,120
460,143
461,122
462,123
463,127
464,131
465,163
466,135
467,140
468,186
469,147
470,152
471,160
472,159
473,163
474,210
475,171
476,175
477,179
478,176
479,187
480,191
481,195
482,203
483,206
484,206
485,211
486,208
487,218
488,223
489,224
490,230
491,234
492,236
493,242
494,242
495,236
496,255
497,259
498,257
499,263
500,259
501,255
502,255
503,254
504,251
505,251
506,248
507,251
508,251
509,236
510,251
511,251
512,255
513,255
514,256
515,236
516,251
517,250
518,251
519,254
520,254
521,254
522,254
523,255
524,255
525,251
526,251
527,254
528,250
529,241
530,255
531,255
532,240
533,255
534,254
535,255
536,255
537,254
538,240
539,251
540,275
541,250
542,250
543,233
544,246
545,246
546,232
547,248
548,247
549,277
550,247
551,251
552,250
553,251
554,255
555,255
556,255
557,255
558,254
559,253
560,254
561,254
562,250
563,251
564,250
565,250
566,252
567,251
568,247
569,278
570,251
571,251
572,283
573,251
574,251
575,283
576,251
577,251
578,252
579,248
580,247
581,247
582,246
583,287
584,247
585,246
586,294
587,251
588,251
589,251
590,251
591,251
592,250
593,251
594,251
595,247
596,247
597,247
598,247
599,250
600,297
601,258
602,259
603,259
604,264
605,270
606,316
607,282
608,282
609,299
610,296
611,308
612,316
613,327
614,327
615,338
616,349
617,365
618,381
619,395
620,396
621,411
622,433
623,432
624,440
625,448
626,446
627,456
628,469
629,479
630,488
631,493
632,499
633,493
634,492
635,488
636,488
637,488
638,480
639,480
640,480
641,480
642,481
643,481
644,477
645,477
646,476
647,472
648,473
649,469
650,468
651,469
652,469
653,468
