Steps,array0,array1,array2
1,536,488,742
2,537,488,741
3,536,488,743
4,535,488,743
5,536,488,742
6,537,487,744
7,536,488,743
8,535,488,741
9,536,488,742
10,537,488,743
11,537,488,742
12,536,489,743
13,536,488,743
14,537,488,743
15,537,488,743
16,536,488,742
17,536,488,742
18,537,488,742
19,537,488,741
20,536,489,742
21,536,489,742
22,538,488,742
23,808,538,731
24,963,520,739
25,518,468,731
26,362,550,746
27,275,396,743
28,385,378,744
29,453,456,742
30,447,492,741
31,697,703,797
32,536,489,744
33,524,480,743
34,544,497,741
35,538,489,741
36,536,489,742
37,536,488,743
38,535,488,742
39,537,488,742
40,536,489,743
41,536,489,742
42,535,488,743
43,537,489,742
44,536,488,742
45,535,489,743
46,536,489,742
47,538,488,743
48,536,488,742
49,535,488,743
50,536,489,742
51,537,488,742
52,537,488,742
53,535,489,742
54,536,489,742
55,537,488,743
56,536,488,742
57,534,488,743
58,536,488,744
59,537,489,742
60,536,488,743
61,535,488,742
62,535,488,742
63,536,489,743
64,536,488,742
65,535,489,742
66,536,488,742
67,537,489,743
68,536,489,742
69,535,489,742
70,528,497,744
71,536,483,743
72,537,488,743
73,536,487,742
74,535,487,742
75,536,488,743
76,536,488,743
77,534,488,741
78,534,487,742
79,537,489,743
80,537,487,742
81,535,488,742
82,535,488,742
83,537,489,742
84,538,491,743
85,525,395,742
86,557,55,727
87,632,96,724
88,438,777,756
89,499,802,759
90,531,629,751
91,539,489,743
92,536,487,742
93,536,488,742
94,535,488,743
95,537,488,743
96,537,488,742
97,535,488,742
98,534,487,744
99,535,488,743
100,537,489,742
101,535,488,743
102,535,487,744
103,536,488,743
104,536,488,743
105,536,488,742
106,535,489,742
107,536,488,742
108,536,488,744
109,536,488,741
110,535,488,743
111,537,491,745
112,536,488,743
113,535,488,742
114,535,488,741
115,534,488,742
116,537,494,740
117,536,488,742
118,535,488,742
119,535,488,742
120,536,487,742
121,535,488,742
122,535,488,742
123,535,488,742
124,536,488,742
125,536,489,742
126,535,488,742
127,534,488,743
128,560,501,761
129,529,493,718
130,521,488,749
131,534,485,754
132,535,489,736
133,525,493,746
134,523,491,762
135,525,487,739
136,524,482,738
137,527,480,729
138,527,484,735
139,526,481,745
140,527,461,740
141,530,464,743
142,528,442,748
143,532,445,739
144,536,441,742
145,523,460,734
146,524,449,731
147,523,458,734
148,514,458,733
149,522,483,736
150,521,468,745
151,522,444,738
152,512,474,740
153,530,476,745
154,511,458,729
155,517,462,739
156,519,456,741
157,518,461,739
158,537,469,741
159,518,468,744
160,528,452,743
161,519,387,716
162,507,517,745
163,527,458,741
164,515,450,734
165,516,460,740
166,523,457,746
167,528,459,741
168,510,464,738
169,492,476,740
170,540,465,738
171,516,488,736
172,519,482,731
173,513,481,751
174,516,471,748
175,516,484,736
176,513,480,747
177,519,480,742
178,517,479,740
179,523,475,749
180,557,444,893
181,499,449,1009
182,331,369,1009
183,453,445,789
184,535,525,477
185,599,571,478
186,559,512,592
187,559,512,592
188,553,513,656
189,572,490,707
190,575,488,714
191,570,491,741
192,590,498,749
193,583,509,746
194,571,516,748
195,573,520,737
196,569,517,740
197,563,512,730
198,561,510,731
199,561,510,736
200,556,511,730
201,566,508,738
202,563,507,733
203,564,505,741
204,567,498,743
205,566,499,740
206,561,499,739
207,561,497,736
208,561,495,738
209,561,495,738
210,557,501,735
211,561,500,735
212,557,503,733
213,557,505,737
214,560,503,737
215,562,500,733
216,566,500,735
217,566,495,743
218,557,500,737
219,553,509,739
220,553,509,739
221,562,498,735
222,566,497,744
223,561,501,747
224,556,500,756
225,547,499,755
226,547,499,758
227,545,501,751
228,552,498,736
229,547,499,735
230,550,493,741
231,552,488,734
232,556,487,739
233,557,487,737
234,558,484,740
235,557,482,739
236,546,495,741
237,546,491,740
238,552,491,745
239,536,490,742
240,540,499,750
241,523,513,743
242,542,499,748
243,553,497,762
244,520,501,753
245,528,465,737
246,529,464,729
247,538,475,736
248,535,486,748
249,522,487,753
250,515,477,743
251,519,480,738
252,527,485,734
253,521,502,741
254,523,513,743
255,536,528,741
256,531,492,703
257,530,513,749
258,521,519,739
259,516,524,737
260,528,507,737
261,525,531,757
262,516,517,745
263,518,515,745
264,525,516,744
265,547,518,716
266,505,473,665
267,553,500,699
268,528,507,747
269,521,509,730
270,526,480,706
271,466,407,860
272,528,493,741
273,534,489,744
274,534,488,743
275,536,488,742
276,535,487,743
277,534,488,743
278,534,488,743
279,534,488,741
280,534,488,742
281,533,487,742
282,534,488,743
283,535,487,742
284,535,488,742
285,533,488,743
286,534,488,741
287,534,489,743
288,535,489,743
289,534,488,743
290,535,488,742
291,536,488,742
292,535,488,742
293,533,489,743
294,534,488,742
295,536,489,742
296,535,488,742
297,534,488,742
298,533,488,742
299,533,488,739
300,534,489,741
301,534,487,742
302,534,489,744
